CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,LOAI_TBI,KIEU_LBS,TTKN,CTSC,KIEU_DHQ,MT_CD,UDM,IDM,DBDATSCN,KCRTT,SCKTTDC,KNGSDK,DB_DA_XUNG,I_CATNM_DM,VLBS,KIEU_DK
0022D00_LBS,USING,HSX.00375,2022,TB040.00141,TB0632,TBI_TT_LBS_LOAI.21,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,10000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00180,2003,TB040.00012,TB0632,TBI_TT_LBS_LOAI.15,PB-501424,PB-501427,EVN.KO,PE-2164,TBI_TT_LBS_MTCD.00003,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,120,PE-2169,125,TBI_TT_KNCDNM.00028,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2015,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.9,PB-500012,50,PB-500049,400,PE-2169,125,TBI_TT_KNCDNM.00008,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00375,2005,TB040.00141,TB0631,TBI_TT_LBS_LOAI.22,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,5000,PE-2168,150,TBI_TT_KNCDNM.00011,PB-500064,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2016,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2164,TBI_TT_LBS_MTCD.00003,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,10,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00161,2014,TB040.00001,TB0631,TBI_TT_LBS_LOAI.2,PB-501424,PB-501427,EVN.KO,PE-2164,TBI_TT_LBS_MTCD.00003,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500047,10000,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,RETIRE,HSX.00035,1983,TB040.00012,TB0632,TBI_TT_LBS_LOAI.13,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2169,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2012,TB040.00141,TB0632,TBI_TT_LBS_LOAI.17,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,60kV,PB-500049,5000,PE-2169,125,TBI_TT_KNCDNM.00046,PB-500062,TBI_TT_CC_DK.00002
0022D00_LBS,USING,HSX.00302,2015,TB040.00141,TB0632,TBI_TT_LBS_LOAI.18,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2168,125,TBI_TT_KNCDNM.00011,PB-500062,TBI_TT_CC_DK.00003
0022D00_LBS,TVH,HSX.00302,2015,TB040.00141,TB0631,TBI_TT_LBS_LOAI.19,PB-501424,PB-501427,EVN.KO,PE-2163,PE-2165,TBI_TT_FCO_UDM.6,PB-500012,50,PB-500049,100,PE-2169,125,TBI_TT_KNCDNM.00027,PB-500062,TBI_TT_CC_DK.00002
