CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,MA_HIEU,TYSO_BIEN,U_LVLN,P_DM,CAP_CX,I_DM,I_ODD,I_ON,PHA,CACH_DIEN,KIEU_TI,KIEU_LD,KNCDNMDM,TTCTC,BCTBMD,CDDRNN
0110D00_TI,USING,HSX.00051,2005,TB040.00006,TB0632,TBI_CT_TI_KIEU_LD.00051,TBI_CT_TSB_TI.00070,PB-501066,PB-100123,PB-100120,PB-100109,25,TBI_CT_I_OD.8,EVN.PHA_A,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00051,2005,TB040.00006,TB0632,TBI_CT_TI_KIEU_LD.00051,TBI_CT_TSB_TI.00065,PB-501066,PB-100123,PB-100120,PB-100109,25,TBI_CT_I_OD.8,EVN.PHA_B,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00051,2005,TB040.00006,TB0632,TBI_CT_TI_KIEU_LD.00051,TBI_CT_TSB_TI.00070,PB-501066,PB-100123,PB-100120,PB-100109,25,TBI_CT_I_OD.8,EVN.PHA_C,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00049,PB-500169,PB-501066,PB-501457,PB-100121,PB-100111,NULL,NULL,EVN.PHA_A,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00049,PB-500169,PB-501066,PB-501457,PB-100121,PB-100111,NULL,NULL,EVN.PHA_B,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00041,PB-500169,PB-501066,PB-501457,PB-100121,PB-100111,NULL,NULL,EVN.PHA_C,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00049,TBI_CT_TSB_TI.00037,PB-501066,PB-100123,PB-100121,TBI_CT_TI_IDM.157,NULL,NULL,EVN.PHA_A,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00049,TBI_CT_TSB_TI.00037,PB-501066,PB-100123,PB-100120,TBI_CT_TI_IDM.157,NULL,NULL,EVN.PHA_B,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2021,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00041,TBI_CT_TSB_TI.00037,PB-501066,PB-100123,PB-100120,TBI_CT_TI_IDM.157,NULL,NULL,EVN.PHA_C,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
0110D00_TI,USING,HSX.00505,2017,TB040.00002,TB0632,TBI_CT_TI_KIEU_LD.00048,TBI_CT_TSB_TI.00037,PB-501066,PB-100123,PB-100120,TBI_CT_TI_IDM.157,NULL,NULL,EVN.PHA_A,TBI_CT_TI_CD.1,PB-501055,PB-501057,PB-501069,NULL,EVN.CO,PB-501073
