CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,IDM,DBDAX,DBDATSCN,SO_CKTTDCKT,KCRTT,MTDC,MTCD,LCD,CNGSDKTTDL,UDM,I_CAT_DM,LOAI_TBI
0022D00_RECLOSER,RETIRE,HSX.00274,2021,TB040.00006,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00126,2020,TB040.00012,TB0631,PB-500012,125,50,50,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.15
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500012,125,50,1000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.4
0022D00_RECLOSER,USING,HSX.00126,2020,TB040.00012,TB0631,PB-500012,125,50,20000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00016,TB0631,PB-500012,125,50,1,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.16
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00016,TB0631,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.4,NULL
0022D00_RECLOSER,USING,HSX.00126,2020,TB040.00021,TB0631,PB-500012,125,50,NULL,NULL,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.1,NULL
0022D00_RECLOSER,USING,HSX.00274,2020,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.3
0022D00_RECLOSER,USING,HSX.00299,2019,TB040.00008,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00161,2020,TB040.00001,TB0631,PB-500013,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.5,NULL
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,1,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00012,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.002,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00161,2018,TB040.00001,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.004,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00161,2018,TB040.00001,TB0631,PB-500012,125,50,10000,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.6,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.2
0022D00_RECLOSER,USING,HSX.00299,2018,TB040.00008,TB0632,PB-500012,125,50,NULL,PB-500049,PE2045,PE2046,TBI_TT_REC_VCD.003,EVN.KO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2018,TB040.00021,TB0632,PB-500012,125,50,NULL,PB-500047,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.7,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00126,2018,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PB-500116,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.7
0022D00_RECLOSER,USING,HSX.00274,2015,TB040.00117,TB0631,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00126,2016,TB040.00021,TB0632,PB-500012,125,50,10000,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.004,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.3,TBI_TT_RECLOSER_LOAI.13
0022D00_RECLOSER,USING,HSX.00274,2017,TB040.00117,TB0631,PB-500012,125,50,NULL,PB-500049,PE2045,PE2048,TBI_TT_REC_VCD.003,EVN.CO,TBI_TT_FCO_UDM.9,TBI_TT_RECLOSER_INMDM.2,TBI_TT_RECLOSER_LOAI.7
