CATEGORYID,USESTATUS_LAST_ID,P_MANUFACTURERID,DATEMANUFACTURE,NATIONALFACT,OWNER,SLTD,PHA,IDM,UDM,KN_XS,KNCDNMDM,DBDATSCN,NCM,MaHieu,KIEU_DCL,R_TXMC,CDDRNN,KIEU_CD,KIEU_DAPHQ
0110D00_DCL,USING,HSX.00051,2014,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,NOTUSE,HSX.00051,2008,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50001,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00051,2007,TB040.00141,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00032,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50002,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00483,2003,TB040.00003,TB0632,TBI_CT_DCL_KIEU_DCL.50001,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00051,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
0110D00_DCL,USING,HSX.00299,2003,TB040.00014,TB0632,TBI_CT_DCL_KIEU_DCL.50003,EVN.PHA_3P,PB-100024,PB-100044,PB-100062,PB-100051,PB-100056,DCL_TT_NTDCTDVDKDC_01,TBI_CT_LOAI_DCL.00047,PB-500842,NULL,NULL,TBI_TT_DCL_KIEU_CD.10001,TBI_TT_DCL_Bo_truyen_dong_03
